# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 260         5.180       52.100      1.90        De Bilt     
# YYYYMMDD  : datum (YYYY=jaar;MM=maand;DD=dag)
# HH        : tijd (HH=uur; UT.12 UT=13 MET; 14 MEZT. Uurvak 05 loopt van 04.00 UT tot 5.00 UT
# T         : Temperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming / Temperature (in 0.1 degrees Celsius) at 1.50 m at the time of observation
# T10N      : Minimumtemperatuur (in 0.1 graden Celsius) op 10 cm hoogte in de afgelopen 6 uur / Minimum temperature (in 0.1 degrees Celsius) at 0.1 m in the preceding 6-hour period
# TD        : Dauwpuntstemperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming / Dew point temperature (in 0.1 degrees Celsius) at 1.50 m at the time of observation
# STN,YYYYMMDD,   HH,    T, T10N,   TD
  260,20210101,    1,  -25,     ,  -26
  260,20210101,    2,  -32,     ,  -34
  260,20210101,    3,  -27,     ,  -29
  260,20210101,    4,  -11,     ,  -14
  260,20210101,    5,   11,     ,    5
  260,20210101,    6,   19,  -30,    9
  260,20210101,    7,   22,     ,    8
  260,20210101,    8,   27,     ,   11
  260,20210101,    9,   31,     ,   17
  260,20210101,   10,   35,     ,   20
  260,20210101,   11,   46,     ,   30
  260,20210101,   12,   50,    5,   31
  260,20210101,   13,   54,     ,   36
  260,20210101,   14,   56,     ,   35
  260,20210101,   15,   54,     ,   32
  260,20210101,   16,   51,     ,   36
  260,20210101,   17,   49,     ,   34
  260,20210101,   18,   46,   41,   32
  260,20210101,   19,   45,     ,   34
  260,20210101,   20,   46,     ,   35
  260,20210101,   21,   38,     ,   30
  260,20210101,   22,   41,     ,   33
  260,20210101,   23,   42,     ,   34
  260,20210101,   24,   45,   26,   35
  260,20210102,    1,   41,     ,   33
  260,20210102,    2,   40,     ,   33
  260,20210102,    3,   37,     ,   27
  260,20210102,    4,   36,     ,   28
  260,20210102,    5,   34,     ,   27
  260,20210102,    6,   33,   29,   26
  260,20210102,    7,   32,     ,   30
  260,20210102,    8,   32,     ,   31
  260,20210102,    9,   33,     ,   30
  260,20210102,   10,   34,     ,   31
  260,20210102,   11,   37,     ,   32
  260,20210102,   12,   37,   31,   34
  260,20210102,   13,   37,     ,   33
  260,20210102,   14,   39,     ,   35
  260,20210102,   15,   39,     ,   37
  260,20210102,   16,   39,     ,   32
  260,20210102,   17,   37,     ,   34
  260,20210102,   18,   35,   36,   33
  260,20210102,   19,   37,     ,   34
  260,20210102,   20,   38,     ,   33
  260,20210102,   21,   38,     ,   34
  260,20210102,   22,   36,     ,   33
